checking_date,departing_date,trip_type,pax_count,departing_airport,arriving_airport,flight,departing_time,arrival_time,fare_name,price_after_promo,currency
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2418,12:40,14:05,ExtraFly,5225.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2418,12:40,14:05,PrimeFly,5505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2418,12:40,14:05,Business,13570.43,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2422,14:15,15:50,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2422,14:15,15:50,ExtraFly,5225.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2422,14:15,15:50,PrimeFly,5505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2422,14:15,15:50,Business,13570.43,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2424,15:10,16:35,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2424,15:10,16:35,ExtraFly,5225.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2424,15:10,16:35,PrimeFly,5505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2424,15:10,16:35,Business,13570.43,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2426,16:30,17:55,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2426,16:30,17:55,ExtraFly,5225.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2426,16:30,17:55,PrimeFly,5505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2426,16:30,17:55,Business,13570.43,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2428,17:35,19:00,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2428,17:35,19:00,ExtraFly,5225.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2428,17:35,19:00,PrimeFly,5505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2428,17:35,19:00,Business,13570.43,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2430,17:45,19:10,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2430,17:45,19:10,ExtraFly,5225.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2430,17:45,19:10,PrimeFly,5505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2430,17:45,19:10,Business,13570.43,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2446,18:15,19:40,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2446,18:15,19:40,ExtraFly,5225.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2446,18:15,19:40,PrimeFly,5505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2446,18:15,19:40,Business,13570.43,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2442,19:20,20:50,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2442,19:20,20:50,ExtraFly,5225.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2442,19:20,20:50,PrimeFly,5505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2442,19:20,20:50,Business,13570.43,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2432,20:15,21:40,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2432,20:15,21:40,ExtraFly,5225.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2432,20:15,21:40,PrimeFly,5505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2432,20:15,21:40,Business,13570.43,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2434,21:10,22:40,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2434,21:10,22:40,ExtraFly,5225.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2434,21:10,22:40,PrimeFly,5505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2434,21:10,22:40,Business,13570.43,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2438,23:55,01:15,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2438,23:55,01:15,ExtraFly,5225.73,TRY
