marketing_airline,marketing_airline_name,market,total_orders,void_orders,free_cancel_24h_orders,void_or_24h_orders
CX,CATHAY PACIFIC,AE,813,511,0,511
CX,CATHAY PACIFIC,AR,8,3,0,3
CX,CATHAY PACIFIC,AT,41,19,0,19
CX,CATHAY PACIFIC,AU,7726,5314,0,5314
CX,CATHAY PACIFIC,AZ,21,14,0,14
CX,CATHAY PACIFIC,BE,122,79,0,79
CX,CATHAY PACIFIC,BH,5,4,0,4
CX,CATHAY PACIFIC,BR,280,132,0,132
CX,CATHAY PACIFIC,BY,24,12,0,12
CX,CATHAY PACIFIC,CA,2306,1371,7,1378
CX,CATHAY PACIFIC,CH,149,97,0,97
CX,CATHAY PACIFIC,CN,331,243,0,243
CX,CATHAY PACIFIC,CO,15,9,0,9
CX,CATHAY PACIFIC,CZ,3,2,0,2
CX,CATHAY PACIFIC,DE,1781,1537,0,1537
CX,CATHAY PACIFIC,DK,30,12,0,12
CX,CATHAY PACIFIC,ES,1096,969,1,970
CX,CATHAY PACIFIC,FI,11,5,0,5
CX,CATHAY PACIFIC,FR,2688,2412,0,2412
CX,CATHAY PACIFIC,GB,27720,19615,13,19628
CX,CATHAY PACIFIC,GR,8,3,0,3
CX,CATHAY PACIFIC,HK,154768,76632,91,76723
CX,CATHAY PACIFIC,ID,10798,7679,6,7685
CX,CATHAY PACIFIC,IE,79,45,0,45
CX,CATHAY PACIFIC,IL,39,26,0,26
CX,CATHAY PACIFIC,IN,1993,1281,0,1281
CX,CATHAY PACIFIC,IT,594,504,0,504
CX,CATHAY PACIFIC,JP,18454,13513,2,13515
CX,CATHAY PACIFIC,KR,4178,3344,0,3344
CX,CATHAY PACIFIC,KW,8,6,0,6
CX,CATHAY PACIFIC,KZ,83,42,0,42
CX,CATHAY PACIFIC,MX,164,86,2,88
CX,CATHAY PACIFIC,MY,7847,4780,4,4784
CX,CATHAY PACIFIC,NL,896,795,0,795
CX,CATHAY PACIFIC,NZ,323,220,0,220
CX,CATHAY PACIFIC,OM,13,8,0,8
CX,CATHAY PACIFIC,PE,3,0,0,0
CX,CATHAY PACIFIC,PH,8150,3949,0,3949
CX,CATHAY PACIFIC,PK,33,10,0,10
CX,CATHAY PACIFIC,PL,55,30,0,30
CX,CATHAY PACIFIC,PT,15,8,0,8
CX,CATHAY PACIFIC,QA,32,18,0,18
CX,CATHAY PACIFIC,RU,3110,1438,4,1442
CX,CATHAY PACIFIC,SA,653,384,0,384
CX,CATHAY PACIFIC,SE,23,9,0,9
CX,CATHAY PACIFIC,SG,14282,9100,3,9103
CX,CATHAY PACIFIC,TH,8037,5005,2,5007
CX,CATHAY PACIFIC,TR,86,40,0,40
CX,CATHAY PACIFIC,TW,36477,20336,36,20372
CX,CATHAY PACIFIC,UA,18,6,0,6
CX,CATHAY PACIFIC,US,9269,8050,8,8058
CX,CATHAY PACIFIC,VN,2885,1742,1,1743
CZ,CHINA SOUTHERN AIRLINES,,239,0,0,0
CZ,CHINA SOUTHERN AIRLINES,AE,1093,514,1,515
CZ,CHINA SOUTHERN AIRLINES,AR,14,0,1,1
CZ,CHINA SOUTHERN AIRLINES,AT,33,9,0,9
CZ,CHINA SOUTHERN AIRLINES,AU,15499,4494,2,4496
CZ,CHINA SOUTHERN AIRLINES,AZ,176,30,0,30
CZ,CHINA SOUTHERN AIRLINES,BE,113,29,0,29
CZ,CHINA SOUTHERN AIRLINES,BH,12,3,0,3
CZ,CHINA SOUTHERN AIRLINES,BR,317,77,1,78
CZ,CHINA SOUTHERN AIRLINES,BY,303,37,0,37
CZ,CHINA SOUTHERN AIRLINES,CA,1703,531,3,534
CZ,CHINA SOUTHERN AIRLINES,CH,66,21,0,21
CZ,CHINA SOUTHERN AIRLINES,CN,397,0,1,1
CZ,CHINA SOUTHERN AIRLINES,CO,21,1,0,1
CZ,CHINA SOUTHERN AIRLINES,CZ,3,0,0,0
CZ,CHINA SOUTHERN AIRLINES,DE,4683,1333,0,1333
CZ,CHINA SOUTHERN AIRLINES,DK,25,5,0,5
CZ,CHINA SOUTHERN AIRLINES,ES,1441,374,7,381
CZ,CHINA SOUTHERN AIRLINES,FI,32,10,0,10
CZ,CHINA SOUTHERN AIRLINES,FR,4108,1083,1,1084
CZ,CHINA SOUTHERN AIRLINES,GB,44304,16250,33,16283
CZ,CHINA SOUTHERN AIRLINES,GR,13,3,0,3
CZ,CHINA SOUTHERN AIRLINES,HK,32414,12076,76,12152
CZ,CHINA SOUTHERN AIRLINES,ID,7251,2352,0,2352
